2024-11-23 06:50:00.091 botMg [scheduling-1] INFO  c.h.m.service.order.OrderServiceImpl - 同步14天数据：2024-11-23 ~ 2024-11-09 06:50:00
2024-11-23 06:50:01.170 botMg [scheduling-1] INFO  c.h.m.service.order.OrderServiceImpl - 订单数据完成,开始备份资金:2024-11-09
2024-11-23 06:50:01.184 botMg [scheduling-1] INFO  c.h.m.service.order.OrderServiceImpl - 资金数据完成,开始备份变动明细:2024-11-09
2024-11-23 06:50:01.191 botMg [scheduling-1] INFO  c.h.m.service.order.OrderServiceImpl - 变动明细处理完成...
2024-11-23 11:21:44.321 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【null】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 11:21:44.321 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 11:22:01.218 botMg [http-nio-8001-exec-4] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.MenuController.findNavTree()
2024-11-23 11:22:01.219 botMg [http-nio-8001-exec-4] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 11:22:01.319 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.LoginUserController.findByUserName()
2024-11-23 11:22:01.320 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 11:22:01.337 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.LoginUserController.findPermissions()
2024-11-23 11:22:01.337 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 11:22:09.629 botMg [http-nio-8001-exec-6] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 11:22:09.629 botMg [http-nio-8001-exec-6] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 11:22:14.668 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 11:22:14.668 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 11:23:15.400 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 11:23:15.400 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 11:23:20.109 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
