2024-12-06 00:00:01.134 botMg [scheduling-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2024-12-06 00:00:01.148 botMg [scheduling-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2024-12-06 00:00:01.443 botMg [scheduling-1] INFO  com.hml.task.HqTaskManager - HQ-MODE2:Draw(dataId=2, mode=B1, preDrawDate=2024-12-05, preDrawTime=2024-12-05 23:59:01, drawTime=2024-12-06 00:01:01, preDrawIssue=2412050000, drawIssue=2412060000, preDrawCode=10,07,04,08,09,02,05,06,03,01, preDrawHash=07pvss484futdvu9ocgznx2evz5i2w4j60ufa38ff8xpwv9oeck13h42fc8m7rbi, createTime=null)
2024-12-06 00:00:06.257 botMg [Thread-10] INFO  com.hml.utils.HttpClientUtils - GET请求：https://api.api168168.com/pks/getPksDoubleCount.do?date=&lotCode=10037
2024-12-06 00:00:07.179 botMg [Thread-10] INFO  com.hml.utils.HttpClientUtils - 返回结果为:{"errorCode":0,"message":"操作成功","result":{"businessCode":0,"message":"操作成功","data":{"id":3243194,"preDrawCode":"03,09,01,02,06,05,04,08,07,10","drawCount":1152,"preDrawDate":"2024-12-05","preDrawTime":"2024-12-05 23:59:18","drawTime":"2024-12-06 00:00:33","preDrawIssue":33408080,"drawIssue":33408081,"enable":0,"firstSingleCount":561,"firstDoubleCount":591,"firstBigCount":560,"firstSmallCount":592,"secondSingleCount":555,"secondDoubleCount":597,"secondBigCount":563,"secondSmallCount":589,"thirdSingleCount":582,"thirdDoubleCount":570,"thirdBigCount":571,"thirdSmallCount":581,"fourthSingleCount":577,"fourthDoubleCount":575,"fourthBigCount":581,"fourthSmallCount":571,"fifthSingleCount":597,"fifthDoubleCount":555,"fifthBigCount":537,"fifthSmallCount":615,"sixthSingleCount":561,"sixthDoubleCount":591,"sixthBigCount":593,"sixthSmallCount":559,"seventhSingleCount":592,"seventhDoubleCount":560,"seventhBigCount":567,"seventhSmallCount":585,"eighthSingleCount":572,"eighthDoubleCount":580,"eighthBigCount":561,"eighthSmallCount":591,"ninthSingleCount":568,"ninthDoubleCount":584,"ninthBigCount":639,"ninthSmallCount":513,"tenthSingleCount":595,"tenthDoubleCount":557,"tenthBigCount":588,"tenthSmallCount":564,"sumSingleCount":614,"sumDoubleCount":538,"sumBigCount":500,"sumSmallCount":652,"firstDragonCount":560,"firstTigerCount":592,"secondDragonCount":532,"secondTigerCount":620,"thirdDragonCount":578,"thirdTigerCount":574,"fourthDragonCount":596,"fourthTigerCount":556,"fifthDragonCount":539,"fifthTigerCount":613}}}
2024-12-06 00:00:07.180 botMg [Thread-10] INFO  com.hml.thread.NiuGetDataThread - 等待查询:【15000】
2024-12-06 00:00:23.116 botMg [Thread-10] INFO  com.hml.thread.NiuGetDataThread - 等待查询:【5000】
2024-12-06 00:00:29.031 botMg [Thread-10] INFO  com.hml.thread.NiuGetDataThread - 等待查询:【1000】
2024-12-06 00:00:30.959 botMg [Thread-10] INFO  com.hml.thread.NiuGetDataThread - 等待查询:【1000】
2024-12-06 00:00:32.944 botMg [Thread-10] INFO  com.hml.thread.NiuGetDataThread - 等待查询:【15000】
2024-12-06 00:00:47.944 botMg [Thread-10] INFO  com.hml.utils.HttpClientUtils - GET请求：https://api.api168168.com/pks/getPksDoubleCount.do?date=&lotCode=10037
2024-12-06 00:00:48.873 botMg [Thread-10] INFO  com.hml.utils.HttpClientUtils - 返回结果为:{"errorCode":0,"message":"操作成功","result":{"businessCode":0,"message":"操作成功","data":{"id":3243195,"preDrawCode":"05,10,09,04,03,07,01,06,02,08","drawCount":1,"preDrawDate":"2024-12-06","preDrawTime":"2024-12-06 00:00:33","drawTime":"2024-12-06 00:01:48","preDrawIssue":33408081,"drawIssue":33408082,"enable":0,"firstSingleCount":1,"firstDoubleCount":0,"firstBigCount":0,"firstSmallCount":1,"secondSingleCount":0,"secondDoubleCount":1,"secondBigCount":1,"secondSmallCount":0,"thirdSingleCount":1,"thirdDoubleCount":0,"thirdBigCount":1,"thirdSmallCount":0,"fourthSingleCount":0,"fourthDoubleCount":1,"fourthBigCount":0,"fourthSmallCount":1,"fifthSingleCount":1,"fifthDoubleCount":0,"fifthBigCount":0,"fifthSmallCount":1,"sixthSingleCount":1,"sixthDoubleCount":0,"sixthBigCount":1,"sixthSmallCount":0,"seventhSingleCount":1,"seventhDoubleCount":0,"seventhBigCount":0,"seventhSmallCount":1,"eighthSingleCount":0,"eighthDoubleCount":1,"eighthBigCount":1,"eighthSmallCount":0,"ninthSingleCount":0,"ninthDoubleCount":1,"ninthBigCount":0,"ninthSmallCount":1,"tenthSingleCount":0,"tenthDoubleCount":1,"tenthBigCount":1,"tenthSmallCount":0,"sumSingleCount":1,"sumDoubleCount":0,"sumBigCount":1,"sumSmallCount":0,"firstDragonCount":0,"firstTigerCount":1,"secondDragonCount":1,"secondTigerCount":0,"thirdDragonCount":1,"thirdTigerCount":0,"fourthDragonCount":1,"fourthTigerCount":0,"fifthDragonCount":0,"fifthTigerCount":1}}}
2024-12-06 00:00:48.873 botMg [Thread-10] INFO  com.hml.thread.NiuGetDataThread - 等待查询:【15000】
2024-12-06 00:00:51.259 botMg [Thread-9] INFO  com.hml.utils.HttpClientUtils - GET请求：https://api.api168168.com/pks/getPksDoubleCount.do?date=&lotCode=10012
2024-12-06 00:00:52.169 botMg [Thread-9] INFO  com.hml.utils.HttpClientUtils - 返回结果为:{"errorCode":0,"message":"操作成功","result":{"businessCode":0,"message":"操作成功","data":{"id":853056,"preDrawCode":"06,04,01,02,07,03,10,08,05,09","drawCount":288,"preDrawDate":"2024-12-05","preDrawTime":"2024-12-05 23:58:40","drawTime":"2024-12-06 00:03:40","preDrawIssue":21172941,"drawIssue":21172942,"enable":0,"firstSingleCount":137,"firstDoubleCount":151,"firstBigCount":139,"firstSmallCount":149,"secondSingleCount":147,"secondDoubleCount":141,"secondBigCount":151,"secondSmallCount":137,"thirdSingleCount":154,"thirdDoubleCount":134,"thirdBigCount":133,"thirdSmallCount":155,"fourthSingleCount":128,"fourthDoubleCount":160,"fourthBigCount":149,"fourthSmallCount":139,"fifthSingleCount":142,"fifthDoubleCount":146,"fifthBigCount":146,"fifthSmallCount":142,"sixthSingleCount":159,"sixthDoubleCount":129,"sixthBigCount":135,"sixthSmallCount":153,"seventhSingleCount":149,"seventhDoubleCount":139,"seventhBigCount":146,"seventhSmallCount":142,"eighthSingleCount":143,"eighthDoubleCount":145,"eighthBigCount":146,"eighthSmallCount":142,"ninthSingleCount":141,"ninthDoubleCount":147,"ninthBigCount":142,"ninthSmallCount":146,"tenthSingleCount":140,"tenthDoubleCount":148,"tenthBigCount":153,"tenthSmallCount":135,"sumSingleCount":146,"sumDoubleCount":142,"sumBigCount":111,"sumSmallCount":177,"firstDragonCount":135,"firstTigerCount":153,"secondDragonCount":137,"secondTigerCount":151,"thirdDragonCount":133,"thirdTigerCount":155,"fourthDragonCount":148,"fourthTigerCount":140,"fifthDragonCount":147,"fifthTigerCount":141}}}
